ciuName,description,id,mozBugUrl,mozPosition,mozPositionDetail,mozPositionIssue,org,title,url
background-sync,This specification describes a method that enables web applications to synchronize data in the background.,periodic-background-sync,,harmful,"We're concerned that this feature would allow users to be tracked across networks (leaking private information about location and IP address and how they change over time), and that it would allow script execution and resource consumption when it isn't clear to the user that they're interacting with the site.  We might reconsider this position given evidence that these concerns can be safely addressed, however, addressing them for periodic background sync appears substantially harder than doing so for one-off background sync.",214,Proposal,Periodic Background Synchronization,https://github.com/WICG/BackgroundSync/blob/master/explainers/periodicsync-explainer.md
permissions-api,The Permissions Standard defines common infrastructure for other specifications that need to interact with browser permissions. It also defines an API to allow web applications to query and request changes to the status of a given permission.,permissions,,important,"Mozilla believes that the ability to work with user permissions is critical for user agency. There are certain aspects of the API that are not suitable for the permissions model used in Firefox and so we would like to work on improving several aspects of the API. In particular, we think that the way that status of permissions needs to more accurately reflect the different states that exist or could exist. We also think that the interactions with Feature Policy need to be better clarified. We're committed to fixing this, because permissions has become critical in making the web a more capable platform and it is important to ensure that we preserve user control over their online experience.",19,W3C,Permissions,https://w3c.github.io/permissions/
permissions-policy,This specification defines a mechanism that allows developers to selectively enable and disable use of various browser features and APIs.,feature-policy,https://bugzilla.mozilla.org/show_bug.cgi?id=1390801,worth prototyping,Mozilla's primary interest in this specification is in the delegation of permissions to third-party contexts that are not granted there by default. To that end we have shipped the allow attribute. The recently revised Permissions-Policy header seems worth prototyping and would allow for sites to impose restrictions on themselves. We hope that the JavaScript API can be folded into the Permissions API and have not evaluated the reporting functionality as of yet.,24,W3C,Permissions Policy,https://w3c.github.io/webappsec-permissions-policy/
picture-in-picture,"This specification intends to provide APIs to allow websites to create a floating video window always on top of other windows so that users may continue consuming media while they interact with other content sites, or applications on their device.",picture-in-picture,,defer,"We ship Picture-in-Picture (PiP) as a feature in Firefox, but without exposing a JavaScript API. We are evaluating if our PiP UI affordances are sufficient for users and web applications. In the future, we may reconsider exposing the API, which is why we have chosen to 'defer'.",72,Proposal,Picture-in-Picture,https://wicg.github.io/picture-in-picture/
portals,"This specification defines a mechanism that allows for rendering of, and seamless navigation to, embedded content.",portals,,defer,"While we are deferring evaluation of this proposal, because per <a href=""https://github.com/mozilla/standards-positions/issues/157#issuecomment-636217042"">Domenic's comment</a> it is in the early stages of development and it is too early to evaluate fully, there are concerns (serious enough to mark it as harmful) that we would like to see addressed as it develops.  Most significantly, it needs to explain its interaction with the Web's storage mechanisms in a way that doesn't contribute to third-party tracking or reduce the effectiveness of proposals designed to mitigate such tracking (such as those that partition storage based on toplevel origins).  It also needs to justify the (still undetermined) amount of complexity that it adds to the web platform with sufficiently valuable use cases to justify that complexity.",157,Proposal,Portals,https://wicg.github.io/portals/
,This specification defines APIs for scheduling and controlling prioritized tasks.,scheduling-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1734997,worth prototyping,This feature is useful for web developers to provide a more responsive experience to users.,546,Proposal,Prioritized Task Scheduling,https://wicg.github.io/scheduling-apis/
,Specification of the Priority Hints feature.,priority-hints,,worth prototyping,"Priority hints allow sites to provide information about how subresources on a page might be prioritized for fetching. This can allow the browser to override parts of the internal prioritization heuristics that are used for resource fetching, which could improve page load performance.",606,Proposal,Priority Hints,https://wicg.github.io/priority-hints/
,"This specification defines a privacy preserving way to attribute a conversion, such as a purchase or a sign-up, to a previous ad click.",private-click-measurement,,defer,"We're interested in this specification in order to support a way for a click source to measure conversions as a result of the user clicking on an ad without sharing user-identifying information with the click source in the third-party context.  However, we are waiting to take a position until the fraud preventions that it depends on are specified and we can understand their properties.",161,Proposal,Private Click Measurement,https://privacycg.github.io/private-click-measurement/
,This document specifies modifications to Fetch which are intended to mitigate the risks associated with unintentional exposure of devices and servers on a client’s internal network to the web at large.,cors-and-rfc1918,https://bugzilla.mozilla.org/show_bug.cgi?id=1481298,worth prototyping,"While imperfect and arguably at odds with Internet architecture, localhost and local networks of end users are vulnerable to attacks that this protocol will help mitigate.",143,Proposal,Private Network Access,https://wicg.github.io/private-network-access/
,"Powerful web applications would like to exchange data with native applications via the OS clipboard (copy-paste). The existing Web Platform has a high-level API that supports the most popular standardized data types (text, image, rich text) across all platforms. However, this API does not scale to the long tail of specialized formats. In particular, non-web-standard formats like TIFF (a large image format), and proprietary formats like .docx (a document format), are not supported by the current Web Platform. Raw Clipboard Access aims to provide a low-level API solution to this problem, by implementing copying and pasting of data with any arbitrary Clipboard type, without encoding and decoding.",raw-clipboard-access,,harmful,"The current proposal has significant risks of attacks on native applications.  Some of these attacks may be mitigated by pickling or other similar solutions.  If such a solution is incorporated, we would be willing to reevaluate this proposal.",206,Proposal,Raw Clipboard Access,https://github.com/WICG/raw-clipboard-access/
,"A TC39 proposal to add an .at() method to all the basic indexable classes (Array, String, TypedArray) which allows relative indexing of collection.",relative-indexing-method,https://bugzilla.mozilla.org/show_bug.cgi?id=1658308,worth prototyping,Relative indexing is useful for typed arrays and arrays and will be a quality of life improvement for developers.,458,Ecma,Relative indexing method,https://github.com/tc39/proposal-relative-indexing-method
,This document defines a generic reporting framework which allows web developers to associate a set of named reporting endpoints with an origin. Various platform features can use these endpoints to deliver feature-specific reports in a consistent manner.,reporting,https://bugzilla.mozilla.org/show_bug.cgi?id=1620573,worth prototyping,This is a reasonable generalization of the CSP reporting mechanism that allows more features to adopt it.,104,W3C,Reporting API,https://w3c.github.io/reporting/
,A way to force an embedded document and descendants (regardless of origin) into each having their own agent/event loop.,documentaccess,,harmful,"Changing control flow of cross-origin documents without their consent is not something we should expand upon (i.e., beyond what sandboxing allows) as it could enable attack vectors. Furthermore, forcing same-origin documents in the same browsing context group to be in different agents is a major architectural change and this does not offer enough advantages to make such a change.",197,Proposal,Restricting Document Access of Same Origin Documents,https://github.com/dtapuska/documentaccess
mdn-api_sanitizer,The Sanitizer API allows turning supplied HTML into a safe HTML DOM tree,sanitizer-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1650370,worth prototyping,"This could be useful, since libraries exists and the browser could do it better.",106,Proposal,Sanitizer API,https://wicg.github.io/sanitizer-api/
,Reducing the scope of cookies by including the URL scheme in their keying material as well as reducing the lifetime of non-secure cookies.,scheming-cookies,,important,Reducing the scope of cookies along this axis is a major win.,298,Proposal,Scheme-Bound Cookies,https://github.com/mikewest/scheming-cookies
wake-lock,"This document specifies an API that allows web applications to request a screen wake lock. Under the right conditions, and if allowed, the screen wake lock prevents the system from turning off a device's screen.",screen-wake-lock,https://bugzilla.mozilla.org/show_bug.cgi?id=1589554,worth prototyping,"As the scope of the specification has been reduced to screen wake locks, it's worth prototyping this API in a manner that restricts it to foreground first-party content. Additionally, the API appears flexible enough that a permission grant can be performed asynchronously, allowing us to evaluate the most appropriate permission model should we choose to ship this API in the future. As the API allows the capability to be revoked at any time, we can also prototype eagerly granting, notifying the user what's going on, and allowing users to disable the capability entirely - either per origin, or globally through a browser setting. There is a risk that sites could abuse the API for the sake of engagement, which could unnecessarily drain a device's battery. It could also be a nuisance or be used for social engineering attacks: such as disabling the system's ability to password-lock a device when the screen doesn't switch off if the user leaves their device unattended. Prototyping this capability would allow us to further evaluate how to best mitigate the aforementioned concerns.",210,W3C,Screen Wake Lock API,https://w3c.github.io/wake-lock/
,A use of TLS Exported Authenticators is described which enables HTTP/2 clients and servers to offer additional certificate-based credentials after the connection is established. The means by which these credentials are used with requests is defined.,http2-secondary-certs,,worth prototyping,"This specification enables client authentication in HTTP/2, which is of some benefit. However, it is the server authentication that is most interesting from a privacy perspective. There are some challenges that would need to be worked through before this could be deployed in anything other than an experiment.",175,IETF,Secondary Certificate Authentication in HTTP/2,https://tools.ietf.org/html/draft-ietf-httpbis-http2-secondary-certs
mdn-api_serial,"The Serial API provides a way for websites to read and write from a serial device through script. Such an API would bridge the web and the physical world, by allowing documents to communicate with devices such as microcontrollers, 3D printers, and other serial devices. There is also a companion explainer document.",webserial,https://bugzilla.mozilla.org/show_bug.cgi?id=webserial,harmful,"Devices that offer serial interfaces often expose powerful, low-level functions over the interface with little or no authentication. Exposing that sort of capability to the web without adequate safeguards presents a significant threat to those devices.",336,Proposal,Serial API,https://wicg.github.io/serial
,"This document specifies the ""SVCB"" and ""HTTPSSVC"" DNS resource record types to facilitate the lookup of information needed to make connections for origin resources, such as for HTTPS URLs. SVCB records allow an origin to be served from multiple network locations, each with associated parameters (such as transport protocol configuration and keying material for encrypting TLS SNI). They also enable aliasing of apex domains, which is not possible with CNAME. The HTTPSSVC DNS RR is a variation of SVCB for HTTPS and HTTP origins. By providing more information to the client before it attempts to establish a connection, these records offer potential benefits to both performance and privacy.",dnsop-svcb-httpssvc,,worth prototyping,"While there are some details of the proposal that may require refining, we beleive that this is a promising approach to support Encrypted SNI, and may help improve user experience with HTTP/3.",208,IETF,Service binding and parameter specification via the DNS (DNS SVCB and HTTPSSVC),https://tools.ietf.org/html/draft-ietf-dnsop-svcb-httpssvc
shadowdomv1,A way to give a node in the DOM a hidden subtree in which the children of the node can be inserted.,shadow-trees,,worth prototyping,A welcome successor to XBL!,60,WHATWG,Shadow trees (formerly known as Shadow DOM),https://dom.spec.whatwg.org/#shadow-trees
sxg,"This document specifies how a server can send an HTTP request/ response pair, known as an exchange, with signatures that vouch for that exchange's authenticity. These signatures can be verified against an origin's certificate to establish that the exchange is authoritative for an origin even if it was transferred over a connection that isn't. The signatures can also be used in other ways described in the appendices. These signatures contain countermeasures against downgrade and protocol-confusion attacks.",http-origin-signed-responses,,harmful,"Mozilla has concerns about the shift in the web security model required for handling web-packaged information. Specifically, the ability for an origin to act on behalf of another without a client ever contacting the authoritative server is worrisome, as is the removal of a guarantee of confidentiality from the web security model (the host serving the web package has access to plain text). We recognise that the use cases satisfied by web packaging are useful, and would be likely to support an approach that enabled such use cases so long as the foregoing concerns could be addressed.",29,Proposal,Signed HTTP Exchanges,https://tools.ietf.org/html/draft-yasskin-http-origin-signed-responses
,The Storage Access API provides a means for authenticated cross-site embeds to check their blocking status and request access to storage if they are blocked.,storage-access-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1469714,worth prototyping,"In our current efforts to limit the impact of cross-site tracking there are cases where we may unintentionally break parts of web pages that users depend on. The storage access API provides a programmatic way for affected embedded content to fix these types of broken experiences for the user.  Also, in our upcoming efforts to limit the potential capabilities for unknown third-parties to track the user, we would like to continue to restrict the storage capabilities of the third-party context. The storage access API similarly provides a programmatic path for the embedded widgets which cannot work correctly without access to their data.  It isn't an ideal solution, for example our implementation falls back to prompting the user if it cannot automatically determine whether access should be granted or not, but it is a step in the right direction in the game of reversing the current defaults of the web, that is granting permissive storage access rights to all third-party contexts unconditionally.",280,Proposal,Storage Access API,https://github.com/privacycg/storage-access
streams,"This specification provides APIs for creating, composing, and consuming streams of data that map efficiently to low-level I/O primitives.",streams,https://bugzilla.mozilla.org/show_bug.cgi?id=1128959,worth prototyping,"Streams are an important building block for many APIs, in particular around networking and media.",70,WHATWG,Streams,https://streams.spec.whatwg.org
,This document describes a set of data types and associated algorithms that are intended to make it easier and safer to define and handle HTTP header fields. It is intended for use by specifications of new HTTP header fields that wish to use a common syntax that is more restrictive than traditional HTTP field values.,structured-headers,https://bugzilla.mozilla.org/show_bug.cgi?id=1631722,worth prototyping,"Use of structured headers promises to improve consistency and interoperability of new HTTP header fields. Depending on further security analysis, we may upgrade this feature to 'important' in the future.",256,IETF,Structured Headers for HTTP,https://tools.ietf.org/html/draft-ietf-httpbis-header-structure
,Serializing and deserializing JavaScript Error objects.,errors-structured-cloning,https://bugzilla.mozilla.org/show_bug.cgi?id=1556604,worth prototyping,Good extension to the object serialization algorithm (StructuredSerializeInternal) as currently there is no way to serialize errors.,165,WHATWG,Structured cloning of errors,https://github.com/whatwg/html/issues/4268
,"Stage 3 proposals add new features to the JavaScript language. Stage 3 indicates that a proposal has been accepted by implementations and other delegates as ready to implement, as per the TC39 staging process.",tc39-stage-3,https://bugzilla.mozilla.org/show_bug.cgi?id=1435811,worth prototyping,"Due to the structure of TC39, stage 3 signifies that a proposal is ready to implement. Stage 3 proposals have been reviewed by the SpiderMonkey team and more broadly within Gecko. Stage 2 proposals which require security/privacy review or host integration require their own Mozilla Standards Position.",527,Ecma,TC39 Stage 3 Proposals,https://github.com/tc39/proposals#stage-3
url-scroll-to-text-fragment,A proposal for extending URL fragment syntax with a list of text bits to highlight and scroll to.,scroll-to-text-fragment,https://bugzilla.mozilla.org/show_bug.cgi?id=1753933,worth prototyping,"This is an important use case to address and the proposal does a good job at mitigating the compatibility and security issues. As a result the syntax is a tad inelegant, but workable. (See also the <a href=""#fragmention"">position on Fragmention</a>, which aims to address similar use cases.)",194,Proposal,Text Fragments,https://wicg.github.io/scroll-to-text-fragment/
,This document specifies the Privacy Pass protocol for anonymously authorizing clients with services on the Internet.  Note to Readers Source for this draft and an issue tracker can be found at https://github.com/grittygrease/draft-privacy-pass [1].,privacy-pass,,defer,"This protocol provides a way to achieve certain important goals, such as denial of service mitigation, without also creating tracking mechanisms.  As such, we are very supportive of the goal.  However, we will defer making a firm position until the protocol and the novel cryptographic primitives it relies on have had more thorough security analysis.",261,Proposal,The Privacy Pass Protocol,https://tools.ietf.org/html/draft-privacy-pass
,"The WebTransport Protocol Framework enables clients constrained by the Web security model to communicate with a remote server using a secure multiplexed transport. It consists of a set of individual protocols that are safe to expose to untrusted applications, combined with a model that allows them to be used interchangeably. This document defines the overall requirements on the protocols used in WebTransport, as well as the common features of the protocols, support for some of which may be optional.",webtransport,,worth prototyping,"We are generally in support of a mechanism that addresses the use cases implied by this solution document. While major questions remain open at this time -- notably, multiplexing, the API surface, and available statistics -- we think that prototyping the proposed solution as details become more firm would be worthwhile. We would like see the new WebSocketStream and WebTransport stream APIs to be developed in concert with each other, so as to share as much design as possible.",167,Proposal,The WebTransport Protocol Framework,https://tools.ietf.org/html/draft-vvv-webtransport-overview
mdn-javascript_operators_await_top_level,"Top-level await enables modules to act as big async functions: With top-level await, ECMAScript Modules (ESM) can await resources, causing other modules who import them to wait before they start evaluating their body.",top-level-await,https://bugzilla.mozilla.org/show_bug.cgi?id=1519100,worth prototyping,An ergonomic way of handling modules that contain top level asynchronous work.,444,Ecma,Top-Level Await,https://github.com/tc39/proposal-top-level-await
,"In Transport Layer Security (TLS) handshakes, certificate chains often take up the majority of the bytes transmitted. This document describes how certificate chains can be compressed to reduce the amount of data transmitted and avoid some round trips.",tls-certificate-compression,,worth prototyping,Compression of certificates should provide some performance advantages.,96,IETF,Transport Layer Security (TLS) Certificate Compression,https://tools.ietf.org/html/draft-ietf-tls-certificate-compression
,"This document is an explainer for a potential future web platform API that allows propagating trust across sites, using the Privacy Pass protocol as an underlying primitive.",trust-token,,defer,"This API depends on the Privacy Pass protocol, for which we have deferred our position statement.",262,Proposal,Trust Token API,https://github.com/WICG/trust-token-api/blob/master/README.md
trusted-types,"An API that allows applications to lock down powerful APIs to only accept non-spoofable, typed values in place of strings to prevent vulnerabilities caused by using these APIs with attacker-controlled inputs.",trusted-types,,non-harmful,"The API could be used to harden sites against certain cross-site scripting issues, but it is sufficiently complex that we are concerned that it will not be suitable for many sites.",20,W3C,Trusted Types,https://w3c.github.io/webappsec-trusted-types/dist/spec
,"The QID Emoji Tag Sequences (or QID emoji, for short) have been proposed to provide a well-defined mechanism for implementations to support additional valid emoji that are not representable by Unicode characters or emoji zwj sequences. This mechanism allows for the interchange of emoji whose meaning is discoverable, and which should be correctly parsed by all conformant implementations (although only displayed by implementations that support it). The meaning of each of these valid emoji is established by reference to a Wikidata QID.",unicode-emoji-qid,,harmful,"Mozilla has a number of concerns about this proposal, including: (a) the lack of reference glyphs is likely to increase miscommunication between users; (b) having a formal, versioned approval process provides synchronization between implementors for adding new glyphs, and this proposal removes that; (c) QID glyphs that are later adopted into Unicode would result in duplicate encodings, perhaps in perpetuity; (d) gathering telemetry about the popularity of specific emoji for the purposes of more formal codepoint assignments may cause privacy issues and provides incumbent implementors a competitive advantage; and (e) there are no barriers to abuse of the QID system to create non-emoji characters as a general end-run around the Unicode process.",233,Unicode,Unicode Emoji QID,https://www.unicode.org/review/pri408/pri408-tr51-QID.html
,"This document defines a set of Client Hints that aim to provide developers with the ability to perform agent-based content negotiation when necessary, while avoiding the historical baggage and passive fingerprinting surface exposed by the venerable ""User-Agent"" header.",ua-client-hints,,non-harmful,"UA Client Hints proposes that information derived from the User-Agent header field be sent as new structured fields to HTTPS servers that opt into receiving that information. The goal is to reduce the number of parties that can passively fingerprint users using UA fields. However, three of the new headers are sent unconditionally in every HTTPS request without explicit opt-in. We would prefer to progressively freeze the value of User-Agent HTTP header without replacement. We acknowledge the performance trade-offs this might introduce, but note that the performance characteristics of the proposed design are unclear and optimized almost exclusively for the very first connection to a site. The overheads involved add further uncertainty about performance as three new header fields are sent in every HTTPS request, plus fields for any information a site requests using the Accept-CH mechanism. Adding fields makes it more likely that server-side limits on fields are exceeded, which - even if it is not be a problem now - future specifications might be affected. Any benefit to edge caches from the use of the Vary mechanism on the new headers is not realized unless all clients send these new headers. For caching, we would prefer to explore other options that do not rely on all clients sending the new fields. The proposed NavigatorUAData interface JS API is preferable to use of header fields as it would better allow for auditing of the use of the information.",202,Proposal,User Agent Client Hints,https://wicg.github.io/ua-client-hints/
webauthn,"This specification defines an API enabling the creation and use of strong, attested, scoped, public key-based credentials by web applications, for the purpose of strongly authenticating users. Conceptually, one or more public key credentials, each scoped to a given WebAuthn Relying Party, are created by and bound to authenticators as requested by the web application. The user agent mediates access to authenticators and their public key credentials in order to preserve user privacy. Authenticators are responsible for ensuring that no operation is performed without user consent. Authenticators provide cryptographic proof of their properties to Relying Parties via attestation. This specification also describes the functional model for WebAuthn conformant authenticators, including their signature and attestation functionality.",webauthn,https://bugzilla.mozilla.org/show_bug.cgi?id=1294514,important,"Public key cryptographic authentication is a major improvement in the fight against phishing, and we encourage all security-conscious web applications to implement authentication flows utilizing Web Authentication in the future.",163,W3C,Web Authentication: An API for accessing Public Key Credentials,https://w3c.github.io/webauthn/
background-sync,This specification describes a method that enables web applications to synchronize data in the background.,background-sync,https://bugzilla.mozilla.org/show_bug.cgi?id=1547906,harmful,"We're concerned that this feature would allow users to be tracked across networks (leaking private information about location and IP address and how they change over time), and that it would allow script execution and resource consumption when it isn't clear to the user that they're interacting with the site.  We might reconsider this position given evidence that these concerns can be safely addressed.",173,Proposal,Web Background Synchronization,https://wicg.github.io/BackgroundSync/spec
mdn-api_bluetooth,This document describes an API to discover and communicate with devices over the Bluetooth 4 wireless standard using the Generic Attribute Profile (GATT).,web-bluetooth,https://bugzilla.mozilla.org/show_bug.cgi?id=674737,harmful,"This API provides access to the Generic Attribute Profile (GATT) of Bluetooth, which is not the lowest level of access that the specifications allow, but its generic nature makes it impossible to clearly evaluate. Like <a href=""#webusb"">WebUSB</a> there is significant uncertainty regarding how well prepared devices are to receive requests from arbitrary sites. The generic nature of the API means that this risk is difficult to manage. The Web Bluetooth CG has opted to only rely on user consent, which we believe is not sufficient protection. This proposal also uses a blocklist, which will require constant and active maintenance so that vulnerable devices aren't exploited. This model is unsustainable and presents a significant risk to users and their devices.",95,Proposal,Web Bluetooth,https://webbluetoothcg.github.io/web-bluetooth/
,"This specification describes an API that can be used to retrieve the amount of budget an origin has available for resource consuming background operations, as well as the cost associated with doing such an operation.",budget-api,,non-harmful,This specification is being abandoned.,73,Proposal,Web Budget API,https://wicg.github.io/budget-api/
,An API that allows web applications to encode and decode audio and video,web-codecs,,worth prototyping,"This proposes a coherent set of APIs to address encoding and decoding of video and audio, which is designed to be extensible, composable, and address real use cases with good performance.",209,Proposal,Web Codecs,https://github.com/WICG/web-codecs
webgpu,This specification describes support for accessing modern 3D graphics and GPU computation capabilities on the Web.,webgpu,https://bugzilla.mozilla.org/show_bug.cgi?id=1602129,important,"We believe that WebGPU is key to enable more interactive and content-rich applications on the Web than currently possible with WebGL. WebGPU can scale better to the capabilities of GPUs with less overhead for users because it's modelled after the intersection of the modern native GPU APIs, so allows developers to express the GPU workloads more explicitly.",239,Proposal,Web GPU API,https://gpuweb.github.io/gpuweb/
,"This document defines a web platform API that allows script to asynchronously acquire a lock over a resource, hold it while work is performed, then release it. While held, no other script in the origin can acquire a lock over the same resource. This allows contexts (windows, workers) within a web application to coordinate the usage of resources.",web-locks,,worth prototyping,The specification provides important web platform primitives for same-global and cross-global coordination and avoids requiring other APIs to grow their own transaction abstractions (ex: the Service Worker spec's Cache API).,64,Proposal,Web Locks API,https://wicg.github.io/web-locks/
midi,"This specification defines an API supporting the MIDI (Musical Instrument Digital Interface) protocol, enabling web applications to enumerate and select MIDI input and output devices on the client system and send and receive MIDI messages. It is intended to enable non-music MIDI applications as well as music ones, by providing low-level access to the MIDI devices available on the users' systems.",webmidi,https://bugzilla.mozilla.org/show_bug.cgi?id=836897,under consideration,,58,W3C,Web MIDI API,https://webaudio.github.io/web-midi-api/
webnfc,"Near Field Communication (NFC) enables wireless communication between two devices at close proximity, usually less than a few centimeters. This document defines an API to enable selected use cases based on NFC technology. The current scope of this specification is NDEF. Low-level I/O operations (e.g. ISO-DEP, NFC-A/B, NFC-F) and Host-based Card Emulation (HCE) are not supported within the current scope.",web-nfc,https://bugzilla.mozilla.org/show_bug.cgi?id=1308614,harmful,"We believe Web NFC poses risks to users security and privacy because of the wide range of functionality of the existing NFC devices on which it would be supported, because there is no system for ensuring that private information is not accidentally exposed other than relying on user consent, and because of the difficulty of meaningfully asking the user for permission to share or write data when the browser cannot explain to the user what is being shared or written.",238,Proposal,Web NFC,https://w3c.github.io/web-nfc/
web-share,"This specification defines an API for sharing text, links and other content to an arbitrary destination of the user's choice.The available share targets are not specified here; they are provided by the user agent. They could, for example, be apps, websites or contacts.",web-share,https://bugzilla.mozilla.org/show_bug.cgi?id=1312422,worth prototyping,"This specification defines an API that invokes sharing features of the operating system, for passing information to other applications.  One risk of this is that having this as in-page user interface rather than in-browser user interface may reduce the relevance to the user of the information shown in the URL/location bar.  However, given the demand for this capability it seems like it is likely worth exposing to the Web, and we support prototyping this feature.",27,W3C,Web Share API,https://w3c.github.io/web-share/
,"This specification defines an API that allows websites to declare themselves as web share targets, which can receive shared content from either the Web Share API, or system events (e.g., shares from native apps). This is a similar mechanism to navigator.registerProtocolHandler, in that it works by registering the website with the user agent, to later be invoked from another site or native application via the user agent (possibly at the discretion of the user). The difference is that registerProtocolHandler registers the handler via a programmatic API, whereas a Web Share Target is declared in the Web App Manifest, to be registered at a time of the user agent or user's choosing.",web-share-target,https://bugzilla.mozilla.org/show_bug.cgi?id=1476515,worth prototyping,"This specification affords web applications the ability to handle user-initiated 'share' actions (e.g., sharing a link, image, text, or other media) in contexts that have traditionally been the exclusive domain of native and/or system applications. We believe this API is worth prototyping because it enhances the utility of web applications to end-users, and allows us to explore ways that web applications can more effectively integrate with the underlying operating system.",27,Proposal,Web Share Target API,https://wicg.github.io/web-share-target/
,"This document describes a common data model and API for the Web of Things. The Web Thing Description provides a vocabulary for describing physical devices connected to the World Wide Web in a machine readable format with a default JSON encoding. The Web Thing REST API and Web Thing WebSocket API allow a web client to access the properties of devices, request the execution of actions and subscribe to events representing a change in state. Some basic Web Thing Types are provided and additional types can be defined using semantic extensions with JSON-LD. In addition to this specification there is a note on Web Thing API Protocol Bindings which proposes non-normative bindings of the Web Thing API to various existing IoT protocols. There is also a document describing Web of Things Integration Patterns which provides advice on different design patterns for integrating connected devices with the Web of Things, and where each pattern is most appropriate.",web-thing-api,,worth prototyping,,44,W3C,Web Thing API,https://iot.mozilla.org/wot/
,exception propagation and handling for webassembly,wasm-exceptions,https://bugzilla.mozilla.org/show_bug.cgi?id=1695715,important,"Exception handling is important to C++ programs targeting the web, and to other languages in the future.",573,Proposal,WebAssembly Exception Handling,https://github.com/webassembly/exception-handling/
,128-bit vector data type and operations for webassembly,wasm-simd,https://bugzilla.mozilla.org/show_bug.cgi?id=1625130,important,"Supports common SIMD data type and operations important to C/C++/Rust programs targeting the web within domains such as graphics, video/audio encoding/decoding, and machine learning.",491,W3C,WebAssembly SIMD,https://github.com/webassembly/simd/
https://caniuse.com/webhid,This document describes an API for providing access to devices that support the Human Interface Device (HID) protocol.,webhid,,harmful,"This API, like <a href=#webusb>WebUSB</a>, provides access to generic devices. Though this API is limited to human interface devices (HID), the same concerns apply as WebUSB, namely that devices are generally not designed with access from arbitrary websites in their threat model.",459,Proposal,WebHID API,https://wicg.github.io/webhid/
,This API defines an API surface for manipulating the bits on MediaStreamTracks being sent via an RTCPeerConnection.,webrtc-insertable-streams,,worth prototyping,"This approach provides sites a way to offer a form of end-to-end protection for media, especially in those very common cases where media for group sessions is managed by a central service. The proposed API, together with the SFrame proposal, provides sites the ability to limit the information that is exposed to the central service. Mozilla would prefer to include better key management than this approach proposes, perhaps using <a href=""https://datatracker.ietf.org/doc/html/draft-ietf-mls-architecture"">MLS</a>, which might guarantee certain security and privacy gains for users. However, we recognize that this is not yet feasible and this API can provide security and privacy gains if carefully applied by sites.",330,W3C,WebRTC Insertable Media using Streams,https://w3c.github.io/webrtc-insertable-streams/
,Use cases about providing guarantees to users about the privacy of their WebRTC videoconferencing when the servers are not trusted but the JavaScript is.,webrtc-nv-use-cases-trusted-js,,harmful,"We believe the ""Untrusted JS"" alternative would allow browsers to provide useful guarantees to users about the security of their videoconferencing, but the ""Trusted JS"" variant would not, and seems likely to add unnecessary complexity.",205,Proposal,WebRTC Next Version Use Cases: Trusted JavaScript,https://github.com/w3c/webrtc-nv-use-cases/pull/49/files
webusb,This document describes an API for securely providing access to Universal Serial Bus devices from web pages.,webusb,,harmful,"Because many USB devices are not designed to handle potentially-malicious interactions over the USB protocols and because those devices can have significant effects on the computer they're connected to, we believe that the security risks of exposing USB devices to the Web are too broad to risk exposing users to them or to explain properly to end users to obtain meaningful informed consent. It also poses risks that sites could use USB device identity or data stored on USB devices as tracking identifiers.",100,Proposal,WebUSB API,https://wicg.github.io/webusb/
webxr,"This specification describes support for accessing virtual reality (VR) and augmented reality (AR) devices, including sensors and head-mounted displays, on the Web.",webxr,https://bugzilla.mozilla.org/show_bug.cgi?id=1419190,worth prototyping,"The WebXR Device API is the basis for VR, MR, and AR on the web.  This is a significant and large suite of features.  There is the potential for XR to provide significant benefits, but also a number of risks to individual privacy and security due to the way that XR relies on sensors and environmental data.  Developing new interaction models also presents challenges and considerable work is required before new norms are established.  Mozilla is actively working on WebXR and supportive of its overall goals.  Our participation in and implementation of this API is critical to understanding the feature and learning how to empower users in managing the associated risks.",218,Proposal,WebXR Device API,https://immersive-web.github.io/webxr/
,Describes a method for performing hit tests against real world geometry to be used with the WebXR Device API.,webxr-hit-test,,defer,We believe that (as of February 2020) more iteration on the specification draft is needed before we can establish a position.,259,Proposal,WebXR Hit Test Module,https://immersive-web.github.io/hit-test/
,This specification defines an API for running scripts in stages of the rendering pipeline independent of the main javascript execution environment.,worklets,https://bugzilla.mozilla.org/show_bug.cgi?id=1315239,worth prototyping,This specification is essential for allowing features like the CSS Paint API and CSS Layout API to be implemented in a safe way.,93,W3C,Worklets,https://drafts.css-houdini.org/worklets
